Titulos,contenidos,Palabras claves
"    Meseros - cajicá, chía  ","Importante restaurante de comida Italiana ubicado vía Cajicá - Chía requiere para su equipo de trabajo Meseros, bachilleres con mínimo 6 meses de experiencia en el cargo. Excelentes habilidades en servicio al cliente, comunicación asertiva y fluida. Importante residir en sectores aledaños a Cajicá, Chía por ubicación del restaurante. ",                                atencion al cliente                            
    Asesor comercial - popayán  ,"Importante empresa del sector salud se encuentra en la búsqueda de técnicos, tecnológicos de carreras administrativas con experiencia mínima de 1 año en impulso, asesoría y ventas de productos de servicio. (asesor comercial, asesor de ventas, entre otros).  requisitos: contar con moto, excelente presentación personal, buena actitud y habilidades comerciales.",                                ventas                            
    Ayudante logistico-pereira  ,"Estamos en búsqueda para nuestro equipo de trabajo de un Auxiliar Bodega, principales funciones:  ejecutar los procesos de recepción, alistamiento, despacho, y conteos de mercancía, ejecutar labores operativas de Orden y limpieza en su sitio de trabajo para  mantener el área de trabajo en perfecto estado de organización. Bachiller con 6 meses de experiencia en el área y disponibilidad para laborar  de Lunes a Sábado.        ",                                bodega                            
    Analista contable bilingüe  ,"Importante empresa del sector se encuentra en búsqueda de analista contable con experiencia mínima de 5 años en el cargo, preferiblemente con manejo del sistema CG1. Indispensable contar con formación académica profesional en contaduría publica y contar con nivel de ingles avanzado.",                                contadora                            
    Medico consulta externa sur de bogotá  ,"Reconocida empresa del sector de la salud, requiere para su equipo de trabajo profesional en medicina, con tarjeta profesional y experiencia reciente de un año en consulta externa y conocimientos en la  resolución 3280.",                                Resolucion 3280                            
    Auxiliar contable  ,"Somos una comercializadora de repuestos y partes para motocicletas, con tres puntos de venta a nivel de Bogotá y Soacha. Estamos en la búsqueda de auxiliar contable con experiencia mínima de un año en cargos similares. Indispensable que tenga conocimiento en el manejo del software contable World Office.        ",                                Auxiliar contable con caracter urgente                            
    Médico hospitalario - bucaramanga  ,"Empresa del sector salud enfocada en la prestación de servicios de Cardiología, se encuentra en búsqueda de Médico Hospitalario. ",                                medicina                            
    Asesor comercial financiero - paipa (boyacá)  ,"Objetivo del cargo: Asesorar y ofrecer soluciones a las necesidades de los asociados, usuarios y comunidad en general; gestionando integralmente todos los productos y servicios que componen el portafolio, promoviendo el pensamiento solidario y la filosofía propia de Confiar, la asociatividad y la participación.",                                ventas                            
    Ayudante de fotografía - bogota  ,"Importante empresa del sector requiere personal para el cargo de Auxiliar de fotografía. Bachiller, técnico, con mínimo 1 año  de experiencia como mensajero administrativo y manejo de celular y correo. Debe contar con moto propia, sin comparendos y documentos al día. ",                                mensajero                            
    Asesor de servicios integrados - popayan  ,"Importante empresa del sector salud se encuentra en la búsqueda de técnicos o tecnólogos en auxiliar de enfermería o administración en salud, con mínimo 1 año de experiencia en el sector salud en funciones de atención directa a usuarios, autorizaciones médicas, facturación, manejo de aplicativos y orientación a los usuarios de la eps. ",                                entidad promotora de salud                            
    Representante de ventas detallistas- tat medellin  ,"En tecnoquímicas MEDELLIN estamos buscando, bachiller, técnicos o tecnólogos  en áreas comerciales que tengan experiencia mínimo de 6 meses en ventas, en el área comercial, preferiblemente en el canal de tienda a tienda.",                                ventas                            
    Docente física/science  ,"Los colegios de la red Cognita siempre se comprometen a proteger y promover el bienestar de los niños y adolescentes a su cargo, y espera que todos los empleados, voluntarios y terceros compartan este compromiso. Las políticas de Reclutamiento Seguro se llevarán a cabo antes de confirmar cualquier contratación.",                                enseñanza                            
    Asistente contable presencial | excel intermedio-avanzado  ,Nos encontramos en busque de Asistente  Contable  con experiencia mínimo de 1  de experiencia y manejo de Excel intermedio-avanzado.  Estudiante (virtual) ó Tecnólogo o profesional  en Contaduría Publica o Finanzas o carreras afines. ,                                contabilidad                            
